src,dst,from_class,to_class,confidence
train\SEDAN\8678c134-66b6-11eb-9ff3-8c164571e025_jpg.rf.206712c22a7b75ab2b6180ace099afe8.jpg,train\HATCHBACK\8678c134-66b6-11eb-9ff3-8c164571e025_jpg.rf.206712c22a7b75ab2b6180ace099afe8.jpg,SEDAN,HATCHBACK,0.972
train\SEDAN\8678c135-66b6-11eb-9164-8c164571e025_jpg.rf.c67c3a91d19cb96e07031cb428b69771.jpg,train\HATCHBACK\8678c135-66b6-11eb-9164-8c164571e025_jpg.rf.c67c3a91d19cb96e07031cb428b69771.jpg,SEDAN,HATCHBACK,0.971
train\SEDAN\8678c13b-66b6-11eb-87fd-8c164571e025_jpg.rf.c0a2f8d15dbb2d1136df13f8380630d1.jpg,train\HATCHBACK\8678c13b-66b6-11eb-87fd-8c164571e025_jpg.rf.c0a2f8d15dbb2d1136df13f8380630d1.jpg,SEDAN,HATCHBACK,0.877
train\SEDAN\8678c145-66b6-11eb-b9ee-8c164571e025_jpg.rf.8e96a012413d22d1b6a94b4ea6a5e6c3.jpg,train\HATCHBACK\8678c145-66b6-11eb-b9ee-8c164571e025_jpg.rf.8e96a012413d22d1b6a94b4ea6a5e6c3.jpg,SEDAN,HATCHBACK,0.920
train\SEDAN\8678e827-66b6-11eb-9b6c-8c164571e025_jpg.rf.9354653bf856d25dc0399d67dd48ba5b.jpg,train\HATCHBACK\8678e827-66b6-11eb-9b6c-8c164571e025_jpg.rf.9354653bf856d25dc0399d67dd48ba5b.jpg,SEDAN,HATCHBACK,0.890
train\SEDAN\8678e832-66b6-11eb-9080-8c164571e025_jpg.rf.8ed9b31958d1dff6798d92de2d05c8d6.jpg,train\HATCHBACK\8678e832-66b6-11eb-9080-8c164571e025_jpg.rf.8ed9b31958d1dff6798d92de2d05c8d6.jpg,SEDAN,HATCHBACK,0.924
train\SEDAN\86793611-66b6-11eb-8507-8c164571e025_jpg.rf.e6aed479141033a65566bb68aca5bcb9.jpg,train\HATCHBACK\86793611-66b6-11eb-8507-8c164571e025_jpg.rf.e6aed479141033a65566bb68aca5bcb9.jpg,SEDAN,HATCHBACK,0.923
train\SEDAN\8679361c-66b6-11eb-b346-8c164571e025_jpg.rf.c9bf7e9075738b5cfce7d16157df8b4b.jpg,train\HATCHBACK\8679361c-66b6-11eb-b346-8c164571e025_jpg.rf.c9bf7e9075738b5cfce7d16157df8b4b.jpg,SEDAN,HATCHBACK,0.963
train\SEDAN\86795d04-66b6-11eb-ad2b-8c164571e025_jpg.rf.b461fc6fb35fe414e90c20dbf63add30.jpg,train\HATCHBACK\86795d04-66b6-11eb-ad2b-8c164571e025_jpg.rf.b461fc6fb35fe414e90c20dbf63add30.jpg,SEDAN,HATCHBACK,0.922
train\SEDAN\867983f6-66b6-11eb-95ed-8c164571e025_jpg.rf.4c3a6c598ef93e557143c43e7292bd14.jpg,train\HATCHBACK\867983f6-66b6-11eb-95ed-8c164571e025_jpg.rf.4c3a6c598ef93e557143c43e7292bd14.jpg,SEDAN,HATCHBACK,0.883
train\SEDAN\867983fd-66b6-11eb-bc59-8c164571e025_jpg.rf.0e98e97b94b4e82bda02f2611a3a84be.jpg,train\HATCHBACK\867983fd-66b6-11eb-bc59-8c164571e025_jpg.rf.0e98e97b94b4e82bda02f2611a3a84be.jpg,SEDAN,HATCHBACK,0.934
train\SEDAN\86798405-66b6-11eb-88a3-8c164571e025_jpg.rf.f15c8d4ffb345782e9b06e47f4f10f23.jpg,train\HATCHBACK\86798405-66b6-11eb-88a3-8c164571e025_jpg.rf.f15c8d4ffb345782e9b06e47f4f10f23.jpg,SEDAN,HATCHBACK,0.853
train\SEDAN\8679840a-66b6-11eb-a9d5-8c164571e025_jpg.rf.9c7a0425add857e997cb5f07d5f8e1da.jpg,train\HATCHBACK\8679840a-66b6-11eb-a9d5-8c164571e025_jpg.rf.9c7a0425add857e997cb5f07d5f8e1da.jpg,SEDAN,HATCHBACK,0.949
train\SEDAN\8679840c-66b6-11eb-b721-8c164571e025_jpg.rf.6cf2b237d273e6836ff099b5e306cbd5.jpg,train\HATCHBACK\8679840c-66b6-11eb-b721-8c164571e025_jpg.rf.6cf2b237d273e6836ff099b5e306cbd5.jpg,SEDAN,HATCHBACK,0.869
train\SEDAN\8679aaef-66b6-11eb-8f8c-8c164571e025_jpg.rf.f858602cd213a6f6ab4cbfe79cdab99f.jpg,train\HATCHBACK\8679aaef-66b6-11eb-8f8c-8c164571e025_jpg.rf.f858602cd213a6f6ab4cbfe79cdab99f.jpg,SEDAN,HATCHBACK,0.862
train\SEDAN\8679aaf3-66b6-11eb-9acc-8c164571e025_jpg.rf.5c6f7b47ddff5983dc20cd32cf069b3d.jpg,train\HATCHBACK\8679aaf3-66b6-11eb-9acc-8c164571e025_jpg.rf.5c6f7b47ddff5983dc20cd32cf069b3d.jpg,SEDAN,HATCHBACK,0.915
train\SEDAN\8679aaf6-66b6-11eb-be50-8c164571e025_jpg.rf.708a71e014ca0c89cecd566032bac29c.jpg,train\HATCHBACK\8679aaf6-66b6-11eb-be50-8c164571e025_jpg.rf.708a71e014ca0c89cecd566032bac29c.jpg,SEDAN,HATCHBACK,0.871
train\SEDAN\8679d1f9-66b6-11eb-903a-8c164571e025_jpg.rf.b15c57ffc2ad32a8155b0c33f8ac64b8.jpg,train\HATCHBACK\8679d1f9-66b6-11eb-903a-8c164571e025_jpg.rf.b15c57ffc2ad32a8155b0c33f8ac64b8.jpg,SEDAN,HATCHBACK,0.920
train\SEDAN\867a1fc6-66b6-11eb-97aa-8c164571e025_jpg.rf.fb29d5f05202a70e56141a5faa2c75d8.jpg,train\HATCHBACK\867a1fc6-66b6-11eb-97aa-8c164571e025_jpg.rf.fb29d5f05202a70e56141a5faa2c75d8.jpg,SEDAN,HATCHBACK,0.854
train\SEDAN\867a1fd8-66b6-11eb-9592-8c164571e025_jpg.rf.83f6b58d82e8cdc4d2b76b63ef86902f.jpg,train\HATCHBACK\867a1fd8-66b6-11eb-9592-8c164571e025_jpg.rf.83f6b58d82e8cdc4d2b76b63ef86902f.jpg,SEDAN,HATCHBACK,0.889
train\SEDAN\867a1fe0-66b6-11eb-af7d-8c164571e025_jpg.rf.32c880cf62b1b46049b516d5723a0e26.jpg,train\HATCHBACK\867a1fe0-66b6-11eb-af7d-8c164571e025_jpg.rf.32c880cf62b1b46049b516d5723a0e26.jpg,SEDAN,HATCHBACK,0.856
train\SEDAN\867a1fea-66b6-11eb-b075-8c164571e025_jpg.rf.1583eb7551a8355c2f535fa761c277fc.jpg,train\HATCHBACK\867a1fea-66b6-11eb-b075-8c164571e025_jpg.rf.1583eb7551a8355c2f535fa761c277fc.jpg,SEDAN,HATCHBACK,0.860
train\SEDAN\867a1ff6-66b6-11eb-ad4b-8c164571e025_jpg.rf.c14cef41f3133a098a685d1ac17a9490.jpg,train\HATCHBACK\867a1ff6-66b6-11eb-ad4b-8c164571e025_jpg.rf.c14cef41f3133a098a685d1ac17a9490.jpg,SEDAN,HATCHBACK,0.873
train\SEDAN\867a46b7-66b6-11eb-a0f1-8c164571e025_jpg.rf.592c96368ae321f9d17a36e7b3733005.jpg,train\HATCHBACK\867a46b7-66b6-11eb-a0f1-8c164571e025_jpg.rf.592c96368ae321f9d17a36e7b3733005.jpg,SEDAN,HATCHBACK,0.923
train\SEDAN\867a46be-66b6-11eb-b71e-8c164571e025_jpg.rf.0be083af27c0fb8b248671b4d3b364f7.jpg,train\HATCHBACK\867a46be-66b6-11eb-b71e-8c164571e025_jpg.rf.0be083af27c0fb8b248671b4d3b364f7.jpg,SEDAN,HATCHBACK,0.915
train\SEDAN\867a46de-66b6-11eb-ae09-8c164571e025_jpg.rf.0afe70f740700a1492d2f0ddcb2b07d1.jpg,train\HATCHBACK\867a46de-66b6-11eb-ae09-8c164571e025_jpg.rf.0afe70f740700a1492d2f0ddcb2b07d1.jpg,SEDAN,HATCHBACK,0.936
train\SEDAN\867a6da6-66b6-11eb-8f2b-8c164571e025_jpg.rf.11e3cd52dbc60b162663f740018f5be7.jpg,train\HATCHBACK\867a6da6-66b6-11eb-8f2b-8c164571e025_jpg.rf.11e3cd52dbc60b162663f740018f5be7.jpg,SEDAN,HATCHBACK,0.902
train\SEDAN\867a6dac-66b6-11eb-956c-8c164571e025_jpg.rf.085346fe4c7219cafc2d632d2b2572bf.jpg,train\HATCHBACK\867a6dac-66b6-11eb-956c-8c164571e025_jpg.rf.085346fe4c7219cafc2d632d2b2572bf.jpg,SEDAN,HATCHBACK,0.931
train\SEDAN\867a6db8-66b6-11eb-9e15-8c164571e025_jpg.rf.056717a86b5390486d7d8864c44b7069.jpg,train\HATCHBACK\867a6db8-66b6-11eb-9e15-8c164571e025_jpg.rf.056717a86b5390486d7d8864c44b7069.jpg,SEDAN,HATCHBACK,0.898
train\SEDAN\867a6dd9-66b6-11eb-9925-8c164571e025_jpg.rf.d92a666e3dfaac4d782d02b24c0b82d8.jpg,train\HATCHBACK\867a6dd9-66b6-11eb-9925-8c164571e025_jpg.rf.d92a666e3dfaac4d782d02b24c0b82d8.jpg,SEDAN,HATCHBACK,0.902
train\SEDAN\867a949f-66b6-11eb-a102-8c164571e025_jpg.rf.6e87440a7513942502fc20887d47e8cb.jpg,train\HATCHBACK\867a949f-66b6-11eb-a102-8c164571e025_jpg.rf.6e87440a7513942502fc20887d47e8cb.jpg,SEDAN,HATCHBACK,0.900
train\SEDAN\867a94a9-66b6-11eb-bc1f-8c164571e025_jpg.rf.cf71c77c926ebbf990d25cc0e351d0ea.jpg,train\HATCHBACK\867a94a9-66b6-11eb-bc1f-8c164571e025_jpg.rf.cf71c77c926ebbf990d25cc0e351d0ea.jpg,SEDAN,HATCHBACK,0.905
train\SEDAN\867a94d0-66b6-11eb-91b8-8c164571e025_jpg.rf.4fd66a2c64ef350e097d5bed8a1a92b7.jpg,train\HATCHBACK\867a94d0-66b6-11eb-91b8-8c164571e025_jpg.rf.4fd66a2c64ef350e097d5bed8a1a92b7.jpg,SEDAN,HATCHBACK,0.863
train\SEDAN\867abb95-66b6-11eb-85de-8c164571e025_jpg.rf.aae66b7e32ffaaf22283e44bd1bb24b1.jpg,train\HATCHBACK\867abb95-66b6-11eb-85de-8c164571e025_jpg.rf.aae66b7e32ffaaf22283e44bd1bb24b1.jpg,SEDAN,HATCHBACK,0.945
train\SEDAN\867abb9d-66b6-11eb-9a05-8c164571e025_jpg.rf.83177bbbfc9a96acf9cc9046f58f4c63.jpg,train\HATCHBACK\867abb9d-66b6-11eb-9a05-8c164571e025_jpg.rf.83177bbbfc9a96acf9cc9046f58f4c63.jpg,SEDAN,HATCHBACK,0.879
train\SEDAN\867abbaf-66b6-11eb-89b9-8c164571e025_jpg.rf.4ff621230f52e016a658b6d01aa77e09.jpg,train\HATCHBACK\867abbaf-66b6-11eb-89b9-8c164571e025_jpg.rf.4ff621230f52e016a658b6d01aa77e09.jpg,SEDAN,HATCHBACK,0.872
train\SEDAN\867abbb2-66b6-11eb-a02c-8c164571e025_jpg.rf.7c943c513bc39ca74aade2a5b9ee26e9.jpg,train\HATCHBACK\867abbb2-66b6-11eb-a02c-8c164571e025_jpg.rf.7c943c513bc39ca74aade2a5b9ee26e9.jpg,SEDAN,HATCHBACK,0.851
train\SEDAN\867ae28b-66b6-11eb-b750-8c164571e025_jpg.rf.7a5698c1cb80274722aca731a9dd83fb.jpg,train\HATCHBACK\867ae28b-66b6-11eb-b750-8c164571e025_jpg.rf.7a5698c1cb80274722aca731a9dd83fb.jpg,SEDAN,HATCHBACK,0.934
train\SEDAN\867ae28d-66b6-11eb-8965-8c164571e025_jpg.rf.864c8366ae198406ec9b079ddb9b13c2.jpg,train\HATCHBACK\867ae28d-66b6-11eb-8965-8c164571e025_jpg.rf.864c8366ae198406ec9b079ddb9b13c2.jpg,SEDAN,HATCHBACK,0.865
train\SEDAN\867ae295-66b6-11eb-9810-8c164571e025_jpg.rf.a51e11985651303ee82adace91feccbe.jpg,train\HATCHBACK\867ae295-66b6-11eb-9810-8c164571e025_jpg.rf.a51e11985651303ee82adace91feccbe.jpg,SEDAN,HATCHBACK,0.932
train\SEDAN\867ae2b6-66b6-11eb-9923-8c164571e025_jpg.rf.c2a99f564f614a8ba16280431f629855.jpg,train\HATCHBACK\867ae2b6-66b6-11eb-9923-8c164571e025_jpg.rf.c2a99f564f614a8ba16280431f629855.jpg,SEDAN,HATCHBACK,0.907
train\SEDAN\867b0994-66b6-11eb-9c32-8c164571e025_jpg.rf.7f2e0857b18b1e82e4bec23eb6071b48.jpg,train\HATCHBACK\867b0994-66b6-11eb-9c32-8c164571e025_jpg.rf.7f2e0857b18b1e82e4bec23eb6071b48.jpg,SEDAN,HATCHBACK,0.879
train\SEDAN\867b09a4-66b6-11eb-b4f1-8c164571e025_jpg.rf.c920c426be3f5b7188f440a766a7b693.jpg,train\HATCHBACK\867b09a4-66b6-11eb-b4f1-8c164571e025_jpg.rf.c920c426be3f5b7188f440a766a7b693.jpg,SEDAN,HATCHBACK,0.854
train\SEDAN\867b09b0-66b6-11eb-8c7f-8c164571e025_jpg.rf.91c4f660b2201b2bb9c507f3585c9e3e.jpg,train\HATCHBACK\867b09b0-66b6-11eb-8c7f-8c164571e025_jpg.rf.91c4f660b2201b2bb9c507f3585c9e3e.jpg,SEDAN,HATCHBACK,0.973
train\SEDAN\867b309c-66b6-11eb-bb1e-8c164571e025_jpg.rf.d2ced877f946ef6d21de96521e110b39.jpg,train\HATCHBACK\867b309c-66b6-11eb-bb1e-8c164571e025_jpg.rf.d2ced877f946ef6d21de96521e110b39.jpg,SEDAN,HATCHBACK,0.857
train\SEDAN\867b30a0-66b6-11eb-ade8-8c164571e025_jpg.rf.21c51b9f318bb0ce87d81a2c68a7238f.jpg,train\HATCHBACK\867b30a0-66b6-11eb-ade8-8c164571e025_jpg.rf.21c51b9f318bb0ce87d81a2c68a7238f.jpg,SEDAN,HATCHBACK,0.891
train\SEDAN\867b30a9-66b6-11eb-b7fe-8c164571e025_jpg.rf.944e8f6d48eae96c890b3a61dc268674.jpg,train\HATCHBACK\867b30a9-66b6-11eb-b7fe-8c164571e025_jpg.rf.944e8f6d48eae96c890b3a61dc268674.jpg,SEDAN,HATCHBACK,0.867
train\SEDAN\867b30ab-66b6-11eb-b2e2-8c164571e025_jpg.rf.80d13543cbf66d6f6d862ea78fdc6f83.jpg,train\HATCHBACK\867b30ab-66b6-11eb-b2e2-8c164571e025_jpg.rf.80d13543cbf66d6f6d862ea78fdc6f83.jpg,SEDAN,HATCHBACK,0.915
train\SEDAN\867b576a-66b6-11eb-b965-8c164571e025_jpg.rf.4e0fb4a91050189252f240a4b39c0a4f.jpg,train\HATCHBACK\867b576a-66b6-11eb-b965-8c164571e025_jpg.rf.4e0fb4a91050189252f240a4b39c0a4f.jpg,SEDAN,HATCHBACK,0.941
train\SEDAN\8_jpg.rf.020c413cd394f807cbf786c25e0bc9c1.jpg,train\HATCHBACK\8_jpg.rf.020c413cd394f807cbf786c25e0bc9c1.jpg,SEDAN,HATCHBACK,0.906
train\SEDAN\90_jpg.rf.9ce5e5647638cea0785bfb664487c800.jpg,train\HATCHBACK\90_jpg.rf.9ce5e5647638cea0785bfb664487c800.jpg,SEDAN,HATCHBACK,0.903
train\SEDAN\92_jpg.rf.8e898c217fbdcd7e8e2c95b845894cbf.jpg,train\HATCHBACK\92_jpg.rf.8e898c217fbdcd7e8e2c95b845894cbf.jpg,SEDAN,HATCHBACK,0.935
train\SEDAN\9_jpg.rf.e180f6dac693b9f49ba19f0c932130dc.jpg,train\HATCHBACK\9_jpg.rf.e180f6dac693b9f49ba19f0c932130dc.jpg,SEDAN,HATCHBACK,0.867
train\SEDAN\Image_133_jpg.rf.146a44df537f9059236bedd2e1366240.jpg,train\HATCHBACK\Image_133_jpg.rf.146a44df537f9059236bedd2e1366240.jpg,SEDAN,HATCHBACK,0.912
train\SEDAN\Image_178_jpg.rf.dc29fde5c82e9e004054ee99c1b4c23f.jpg,train\HATCHBACK\Image_178_jpg.rf.dc29fde5c82e9e004054ee99c1b4c23f.jpg,SEDAN,HATCHBACK,0.873
train\SEDAN\Image_181_png.rf.ac088b44fcec358ea14a49bc947a32cc.jpg,train\HATCHBACK\Image_181_png.rf.ac088b44fcec358ea14a49bc947a32cc.jpg,SEDAN,HATCHBACK,0.898
train\SEDAN\Image_48_jpg.rf.386a8d7c4a880ed8abb9519393dfb407.jpg,train\HATCHBACK\Image_48_jpg.rf.386a8d7c4a880ed8abb9519393dfb407.jpg,SEDAN,HATCHBACK,0.891
train\SEDAN\Image_59_jpg.rf.d5432d3adb7369fa124de0031d2e234a.jpg,train\HATCHBACK\Image_59_jpg.rf.d5432d3adb7369fa124de0031d2e234a.jpg,SEDAN,HATCHBACK,0.946
train\HATCHBACK\01375_Nissan-Juke-Hatchback-2012_jpg.rf.e11c075f22688e7d070dcd0d0bd41753.jpg,train\ACIK_TEKERLEK\01375_Nissan-Juke-Hatchback-2012_jpg.rf.e11c075f22688e7d070dcd0d0bd41753.jpg,HATCHBACK,ACIK_TEKERLEK,0.867
train\HATCHBACK\d581b448-66ac-11eb-bb2a-8c164571e025_jpg.rf.51abda3b513bb21e43f9a0267d175ebc.jpg,train\ACIK_TEKERLEK\d581b448-66ac-11eb-bb2a-8c164571e025_jpg.rf.51abda3b513bb21e43f9a0267d175ebc.jpg,HATCHBACK,ACIK_TEKERLEK,0.896
train\HATCHBACK\Image_192_jpg.rf.1e2fcf317483cb524f1fdaa10fd18537.jpg,train\ACIK_TEKERLEK\Image_192_jpg.rf.1e2fcf317483cb524f1fdaa10fd18537.jpg,HATCHBACK,ACIK_TEKERLEK,0.889
